,title,author,release year,synopsis,book length,rating,number of ratings
1048,"A Not So Meet Cute (Cane Brothers, #1)",Meghan Quinn,2021,"How did you two meet?The quintessential question asked to every couple. And the answer is usually some bubbly, lovey dovey tale of being struck in the bum by Cupid’s arrow.My meet cute (well not so meet cute) is slightly different. I was trolling a wealthy neighborhood in Beverly Hills, searching for someone to take me as their bride, you know, to make my arch nemesis jeal",404,4.15,60854
1049,Too Late (ebook),Colleen Hoover,2016,"Sloan will go through hell and back for those she loves. And she does, every single day. After finding herself stuck in a relationship with the dangerous and morally corrupt Asa Jackson, Sloan will do whatever it takes to get by until she's able to find a way out. Nothing will get in her way. Nothing except Carter. Sloan is the best thing to ever happen to Asa. And if you ",395,3.95,90978
1050,"Breathe (Colorado Mountain, #4)",Kristen Ashley,2012,,,4.34,36423
1051,"One Dance with a Duke (Stud Club, #1)",Tessa Dare,2010,"In One Dance with a Duke--the first novel in Tessa Dare's delightful new trilogy--secrets and scandals tempt the irresistible rogues of the Stud Club to gamble everything for love. A handsome and reclusive horse breeder, Spencer Dumarque, the fourth Duke of Morland, is a member of the exclusive Stud Club, an organization so select it has only ten members--yet membership is",384,3.86,14413
1052,"Acheron (Dark-Hunter, #14)",Sherrilyn Kenyon,2008,,,4.56,58019
1053,"Blurred Lines (Love Unexpectedly, #1)",Lauren Layne,2015,"In a novel that’s perfect for fans of Alice Clayton and Emma Chase, Lauren Layne delivers a sexy take on the timeless question: Can a guy and a girl really be “just friends”? When Parker Blanton meets Ben Olsen during her freshman year of college, the connection is immediate—and platonic. Six years later, they’re still best friends, sharing an apartment in Portland’s trend",221,3.94,24337
1054,"The Game Plan (Game On, #3)",Kristen Callihan,2015,"A beard-related dare and one hot-as-hell kiss changes everything.NFL center Ethan Dexter’s focus has always been on playing football and little else. Except when it comes to one particular woman. The lovely Fiona Mackenzie might not care about his fame, but she’s also never looked at him as anything more than one of her brother-in-law’s best friend. That ends now. Fi doesn",323,4.1,29269
1055,"Love Irresistibly (FBI/US Attorney, #4)",Julie James,2013,,,4.09,17950
1056,"Lady Isabella's Scandalous Marriage (MacKenzies & McBrides, #2)",Jennifer Ashley,2010,"Only one man could match a lady like this—scandal for scandal.Six years ago, eighteen-year-old Lady Isabella Scranton scandalized all of London by eloping the night of her come-out ball with the notorious rake, Lord Mac Mackenzie. After three turbulent years of marriage, she scandalized London once again—this time by leaving him. Now Mac has resurfaced, every bit as charis",316,3.92,16893
1057,"Mr. Cavendish, I Presume (Two Dukes of Wyndham, #2)",Julia Quinn,2008,,,3.6,15594
1058,"Dark Desires After Dusk (Immortals After Dark, #5)",Kresley Cole,2008,,,4.34,46777
1059,"Twisted Lies (Twisted, #4)",Ana Huang,2022,,,4.32,57535
1060,"Down to You (The Bad Boys, #1)",Michelle Leighton,2013,,,4.03,66150
1061,Flowers from the Storm (Mass Market Paperback),Laura Kinsale,1992,"The Duke of Jervaulx was brilliant - and dangerous. Considered dissolute, reckless, and extravagant, he was transparently referred to as the ""D of J"" in scandal sheets. But sometimes the most womanizing rakehell can be irresistible, and even his most causal attentions fascinated the sheltered Maddy Timms. Then one fateful day she receives the shocking news - the duke is lo",533,4.09,14924
1062,"It Ain't Me, Babe (Hades Hangmen, #1)",Tillie Cole,2014,,,4.1,43938
1063,Agnes and the Hitman (The Organization #0),Jennifer Crusie,2007,"Take one food writer named Cranky Agnes, add a hitman named Shane, mix them together with a Southern mob wedding, a missing necklace, two annoyed flamingos, and a dog named Rhett and you've got a recipe for a sexy, hilarious novel about the disastrous side of true love…Agnes Crandall's life goes awry when a dognapper invades her kitchen one night, seriously hampering her a",421,3.95,19791
1064,"Aristotle and Dante Dive into the Waters of the World (Aristotle and Dante, #2)",Benjamin Alire Sáenz,2021,,,4.15,51341
1065,The Princess Trap (Paperback),Talia Hibbert,2018,"From bestselling author Talia Hibbert comes a story of wicked royals, fake engagements, and the fed-up office worker trapped in the midst of it all…Cherry Neita is thirty, flirty, and done with men. As far as she can tell, they’re overrated, overpaid, and underperforming – in every area of life. But a girl has needs, and the smoking-hot stranger she just met at the office ",301,3.76,9367
1066,"Ruckus (Sinners of Saint, #2)",L.J. Shen,2017,,,4.18,49537
1067,"The Prince (The Selection, #0.5)",Kiera Cass,2013,,,3.91,76240
1068,"The Indigo Spell (Bloodlines, #3)",Richelle Mead,2013,"In the aftermath of a forbidden moment that rocked Sydney to her core, she finds herself struggling to draw the line between her Alchemist teachings and what her heart is urging her to do. Then she meets alluring, rebellious Marcus Finch--a former Alchemist who escaped against all odds, and is now on the run. Marcus wants to teach Sydney the secrets he claims the Alchemist",401,4.36,99921
1069,"The Hollow (Sign of Seven, #2)",Nora Roberts,2008,"#1 New York Times bestselling author Nora Roberts continues the thrilling trilogy of a town plagued by evil--and the three men and three women brought together by fate to fight it.For Fox, Caleb, Gage and the other residents of Hawkins Hollow, the number seven portends doom--ever since, as boys, they freed a demon trapped for centuries when their blood spilled upon The Pag",316,4.14,31799
1070,"The Dream Thieves (The Raven Cycle, #2)",Maggie Stiefvater,2013,,,4.22,182623
1071,"Lady Luck (Colorado Mountain, #3)",Kristen Ashley,2011,,,4.41,38174
1072,You Made a Fool of Death with Your Beauty (Hardcover),Akwaeke Emezi,2022,"
New York Times
 bestselling author and National Book Award finalist Akwaeke Emezi (they/them) reimagines the love story in this fresh and seductive novel about a young woman seeking joy while healing from loss.Feyi Adekola wants to learn how to be alive again. It’s been five years since the accident that killed the love of her life and she’s almost a new person now—an a",288,3.75,14222
1073,"One Week Girlfriend (One Week Girlfriend, #1)",Monica  Murphy,2013,,,3.92,52570
1074,A Quick Bite (Argeneau #1),Lynsay Sands,2005,"That hot guy tied to Lissianna Argeneau's bed? He's not dessert - he's the main course!Lissianna has been spending her centuries pining for Mr. Right, not just a quick snack, and this sexy guy she finds in her bed looks like he might be a candidate. But there's another, more pressing issue: her tendency to faint at the sight of blood...an especially annoying quirk for a va",360,3.9,42772
1075,Blackmoore (Paperback),Julianne Donaldson,2013,"Kate Worthington knows her heart and she knows she will never marry. Her plan is to travel to India instead—if only to find peace for her restless spirit and to escape the family she abhors. But Kate’s meddlesome mother has other plans. She makes a bargain with Kate: India, yes, but only after Kate has secured—and rejected—three marriage proposals.Kate journeys to the stat",286,4.17,27410
1076,"Call Me Irresistible (Wynette, Texas, #6)",Susan Elizabeth Phillips,2010,,,4.1,23057
1077,"To Catch an Heiress (Agents of the Crown, #1)",Julia Quinn,1998,,,3.91,17815
1078,"Master of Crows (Master of Crows, #1)",Grace Draven,2009,,,3.93,16671
1079,"Kiss of a Demon King (Immortals After Dark, #6)",Kresley Cole,2009,,,4.32,42549
1080,By the Book (Meant to Be #2),Jasmine Guillory,2022,"
A tale as old as time—for a new generation…
Isabelle is completely lost. When she first began her career in publishing right out of college, she did not expect to be twenty-five, living at home, still an editorial assistant, and the only Black employee at her publishing house. Overworked and underpaid, constantly torn between speaking up or stifling herself, Izzy thinks",320,3.76,16655
1081,Far From the Madding Crowd (Paperback),Thomas Hardy,1874,"An ACE can be found here.Independent and spirited Bathsheba Everdene has come to Weatherbury to take up her position as a farmer on the largest estate in the area. Her bold presence draws three very different suitors: the gentleman-farmer Boldwood, soldier-seducer Sergeant Troy and the devoted shepherd Gabriel Oak. Each, in contrasting ways, unsettles her decisions and com",433,3.95,142383
1082,"Royally Matched (Royally, #2)",Emma Chase,2017,,,4.12,22965
1083,"The King (Black Dagger Brotherhood, #12)",J.R. Ward,2014,"
Long live the King... 
After turning his back on the throne for centuries, Wrath, son of Wrath, finally assumed his father’s mantle—with the help of his beloved mate. But the crown sets heavily on his head. As the war with the Lessening Society rages on, and the threat from the Band of Bastards truly hits home, he is forced to make choices that put everything—and everyo",591,4.36,52334
1084,"Gentle Rogue (Malory-Anderson Family, #3)",Johanna Lindsey,1990,"Also see: Alternate Cover Editions for this ISBN [ACE]  
ACE #1
Heartsick and desperate to return home to America, Georgina Anderson boards the Maiden Anne disguised as a cabin boy, never dreaming she'll be forced into intimate servitude at the whim of the ship's irrepressible captain, James Mallory.The black sheep of a proud and tempestuous family, the handsome ex-pirat",426,4.2,21517
1085,Fangs (Kindle Edition),Sarah Andersen,2020,,,4.27,27860
1086,"Full Tilt (Full Tilt, #1)",Emma   Scott,2016,,,4.42,21057
1087,"Anna Dressed in Blood (Anna, #1)",Kendare Blake,2011,"Cas Lowood has inherited an unusual vocation: He kills the dead.So did his father before him, until he was gruesomely murdered by a ghost he sought to kill. Now, armed with his father's mysterious and deadly athame, Cas travels the country with his kitchen-witch mother and their spirit-sniffing cat. They follow legends and local lore, destroy the murderous dead, and keep p",316,3.91,103192
1088,"The Ugly Duchess (Fairy Tales, #4)",Eloisa James,2012,"How can she dare to imagine he loves her... when all London calls her The Ugly Duchess?Theodora Saxby is the last woman anyone expects the gorgeous James Ryburn, heir to the Duchy of Ashbrook, to marry. But after a romantic proposal before the prince himself, even practical Theo finds herself convinced of her soon-to-be duke's passion.Still, the tabloids give the marriage ",334,3.65,13514
1089,The Villa (Paperback),Nora Roberts,2001,,,3.99,28231
1090,"Spell of the Highlander (Highlander, #7)",Karen Marie Moning,2005,It's taken him eleven centuries to find the right woman. He's not about to lose her now.Jessi St. James has GOT to get a life. Too many hours studying ancient artifacts has given the archaeology student a bad case of sex on the brain. So she figures she must be dreaming when she spies a gorgeous half-naked man staring out at her from inside the glass of an ancient mirror. ,394,4.27,26290
